author_clean,race,gender,log10_hits,count
Akuku Mach Pep,black,male,2.31175386105575,2
Akul Singh,asian,male,4.017033,1
Akutagawa Ryunosuke,asian,male,5.90309,1
Al Batt,white,male,4.88479536394898,1
Al Bernstein,white,male,4.63548374681491,4
Al Berto,white,male,5.56702636615906,1
Al Boliska,white,male,3.62736585659273,3
Al Capone,white,male,6.6954816764902,5
Al Capp,white,male,5.24303804868629,6
Al Franken,white,male,5.63346845557959,10
Al Goldstein,white,male,4.84135947045486,2
Al Gore,white,male,6.6599162,10
Al Green,black,male,6.641474,2
Al Jaffee,white,male,4.90955602924118,1
Al Jarreau,black,male,5.959518,2
Al Lewis,white,male,5.59879050676312,1
Al McGuire,white,male,4.91645394854993,2
Al Michaels,white,male,5.45788189673399,1
Al Munoz,latino,male,4.232996,1
Al Pacino,white,male,6.923761961,5
Al Purdy,white,male,4.62634036737504,2
Al Ritter,white,male,4.44247976906445,3
Al Roker,black,male,5.90955602924118,2
Al Sharpton,black,male,6.025305865,3
Al Smith,white,male,6.17026171539496,2
Al Spalding,white,male,4.025305865,1
Al Stewart,white,male,5.79239168949825,2
Al Yankovic,white,male,6.44090908206522,3
Al Álvarez,latino,male,5.43296929087441,2
AlTonya Washington,black,female,4.324282,1
Alain Badiou,white,male,6.22010808804005,4
Alain Bombard,white,male,5.12385164096709,1
Alain Delon,white,male,6.70842090013471,1
Alain Ducasse,white,male,6.274157849,8
Alain Finkielkraut,white,male,5.7041505168398,1
Alain Prost,white,male,6.25042000230889,1
Alain Robert,white,male,5.41995574848976,3
Alain Wertheimer,white,male,5.52891670027766,1
Alain Yaovi M. Dagba,black,male,3.220108,1
Alain de Botton,white,male,5.84260923961056,10
Alain-Fournier,white,male,6.149219113,1
Alain-Rene Lesage,white,male,4.89707700320942,1
Alain-René Le Sage,white,male,5.04139268515823,1
Alan A. Stone,white,male,4.5092025223311,1
Alan Alda,white,male,5.94200805302231,10
Alan Aldridge,white,male,4.78247262416629,1
Alan Arkin,white,male,5.99519629159718,2
Alan Autry,white,male,4.68033551341456,6
Alan Ayckbourn,white,male,5.72181061521255,1
Alan Ball,white,male,5.68752896121463,2
Alan Barth,white,male,4.2405492482826,1
Alan Bean,white,male,5.22788670461367,3
Alan Beattie,white,male,5.07188200730613,2
Alan Bennett,white,male,5.71683772329952,10
Alan Bleasdale,white,male,4.92012332629072,2
Alan Bradley,white,male,5.43136376415899,10
Alan Brennert,white,male,5.58994960132571,3
Alan Brien,white,male,4.15836249209525,1
Alan Brown,white,male,5.94546858513182,1
